1	47761739	51761740
1	125169942	125170022
1	144106677	144106709
1	181955018	181955047
2	85919364	100517106
2	87416140	87416186
2	87417803	87417863
2	87418923	87418981
2	89917297	89917322
2	135275090	135275210
2	182427026	189427029
2	207609785	207609808
3	47483504	49987563
3	83368157	86868160
5	44464139	51168409
5	129636406	132636409
6	25391791	33424245
6	26726946	26726981
6	57788602	58453888
6	61109121	61357029
6	61424409	61424451
6	139637168	142137170
7	54964811	66897578
7	62182499	62277073
8	8105066	12105082
8	43025698	48924888
8	47303499	47317337
8	110918593	113918595
9	40365643	40365693
9	64198499	64200392
9	88958734	88959017
10	36671064	43184546
10	41693520	41885273
11	88127182	91127184
12	32955797	41319931
12	34639033	34639084
14	87391718	87391996
14	94658025	94658080
17	43159540	43159574
20	4031883	4032441
20	33948531	36438183
22	30060083	30060162
22	42980496	42980522
